S no.,name,repo url,default branch,codacy integration,custom properties
130,ccloud-tasks-command-stream,https://github.com/octanner/ccloud-tasks-command-stream,main,no,SOC
131,ccloud-tasks-watcher,https://github.com/octanner/ccloud-tasks-watcher,main,no,SOC
132,ccloud-ui,https://github.com/octanner/ccloud-ui,main,yes,SOC
133,ccm-settings,https://github.com/octanner/ccm-settings,main,no,SOC
134,ccmc-hub,https://github.com/octanner/ccmc-hub,master,yes,SOC
135,ccmc-push,https://github.com/octanner/ccmc-push,master,yes,SOC
136,ccmc-sms,https://github.com/octanner/ccmc-sms,master,yes,SOC
137,ccmigration,https://github.com/octanner/ccmigration,main,no,SOC
138,ccui-collector,https://github.com/octanner/ccui-collector,master,no,SOC
139,ccuiorc,https://github.com/octanner/ccuiorc,main,no,SOC
140,celebrationsui,https://github.com/octanner/celebrationsui,main,yes,SOC
141,circleci-nodejs,https://github.com/octanner/circleci-nodejs,main,no,SOC
142,Circles,https://github.com/octanner/Circles,master,no,SOC
143,cli-gitflow-plugin,https://github.com/octanner/cli-gitflow-plugin,master,no,SOC
144,client-services-automation,https://github.com/octanner/client-services-automation,master,no,SOC
145,clientlink-dataset-review,https://github.com/octanner/clientlink-dataset-review,master,yes,SOC
146,cns-cortex,https://github.com/octanner/cns-cortex,main,yes,SOC
147,cns-crisco,https://github.com/octanner/cns-crisco,main,no,SOC
148,cns-crisco-resolver,https://github.com/octanner/cns-crisco-resolver,main,no,SOC
149,cns-crisco-sticks,https://github.com/octanner/cns-crisco-sticks,main,no,SOC
150,cns-esp-adapter-java,https://github.com/octanner/cns-esp-adapter-java,main,no,SOC
151,cns-esp-adapter-nodejs,https://github.com/octanner/cns-esp-adapter-nodejs,main,no,SOC
152,cns-orchestration-service,https://github.com/octanner/cns-orchestration-service,main,no,SOC
153,color-generator,https://github.com/octanner/color-generator,master,no,SOC
154,comcon-examples,https://github.com/octanner/comcon-examples,master,no,SOC
155,commhubws,https://github.com/octanner/commhubws,master,no,SOC
156,common-alerts,https://github.com/octanner/common-alerts,master,no,SOC
157,common-auth.ruby,https://github.com/octanner/common-auth.ruby,master,no,SOC
158,common-avro-schemas,https://github.com/octanner/common-avro-schemas,nonprod-avro-schemas,no,SOC
159,common-core-migration,https://github.com/octanner/common-core-migration,master,no,SOC
160,common-profile-ui,https://github.com/octanner/common-profile-ui,master,no,SOC
161,common-services-app,https://github.com/octanner/common-services-app,master,no,SOC
162,common-ui-jacket,https://github.com/octanner/common-ui-jacket,master,no,SOC
163,communication-hub,https://github.com/octanner/communication-hub,master,no,SOC
164,communication_services_client,https://github.com/octanner/communication_services_client,master,no,SOC
165,concert-postman-env,https://github.com/octanner/concert-postman-env,master,no,SOC
166,config-wizard-ui,https://github.com/octanner/config-wizard-ui,master,no,SOC
167,configr8,https://github.com/octanner/configr8,master,no,SOC
168,configurable-queries,https://github.com/octanner/configurable-queries,master,yes,SOC
169,consul-oc_tanner-lock-client,https://github.com/octanner/consul-oc_tanner-lock-client,master,yes,SOC
170,core-admin-ui,https://github.com/octanner/core-admin-ui,master,no,SOC
171,core-alamo-scripts,https://github.com/octanner/core-alamo-scripts,master,no,SOC
172,core-auth-osb-broker,https://github.com/octanner/core-auth-osb-broker,master,no,SOC
173,core-budget-svc,https://github.com/octanner/core-budget-svc,main,yes,SOC
174,core-business-unit,https://github.com/octanner/core-business-unit,master,yes,SOC
175,core-chronicle-svc,https://github.com/octanner/core-chronicle-svc,main,yes,SOC
176,core-consent-api,https://github.com/octanner/core-consent-api,main,no,SOC
177,core-customer,https://github.com/octanner/core-customer,master,no,SOC
178,core-customer-config,https://github.com/octanner/core-customer-config,master,yes,SOC
179,core-data-remediation-ui,https://github.com/octanner/core-data-remediation-ui,master,no,SOC
180,core-eligibility,https://github.com/octanner/core-eligibility,master,no,SOC
181,core-eligibility-producer,https://github.com/octanner/core-eligibility-producer,master,no,SOC
182,core-graphql,https://github.com/octanner/core-graphql,master,yes,SOC
183,core-hierarchy-service,https://github.com/octanner/core-hierarchy-service,master,yes,SOC
184,core-hierarchy-store,https://github.com/octanner/core-hierarchy-store,master,no,SOC
185,core-identity,https://github.com/octanner/core-identity,dev,no,SOC
186,core-identity2,https://github.com/octanner/core-identity2,master,yes,SOC
187,core-identity2-hierarchy-search-test,https://github.com/octanner/core-identity2-hierarchy-search-test,main,no,SOC
188,core-idp,https://github.com/octanner/core-idp,master,no,SOC
189,core-import-api,https://github.com/octanner/core-import-api,master,no,SOC
190,core-import-java-api,https://github.com/octanner/core-import-java-api,master,yes,SOC
191,core-legacy-privacy-api,https://github.com/octanner/core-legacy-privacy-api,main,yes,SOC
192,core-location,https://github.com/octanner/core-location,main,yes,SOC
193,core-masterdata,https://github.com/octanner/core-masterdata,master,yes,SOC
194,core-migrationvalidator,https://github.com/octanner/core-migrationvalidator,master,yes,SOC
195,core-oktapoc,https://github.com/octanner/core-oktapoc,master,no,SOC
196,core-permission-api,https://github.com/octanner/core-permission-api,master,no,SOC
197,core-permissions,https://github.com/octanner/core-permissions,master,no,SOC
198,core-pt-mgmt-svc,https://github.com/octanner/core-pt-mgmt-svc,master,yes,SOC
199,core-restful-avro-producer,https://github.com/octanner/core-restful-avro-producer,master,no,SOC
200,core-role-delegator,https://github.com/octanner/core-role-delegator,master,yes,SOC
201,core-secure-transfer-api,https://github.com/octanner/core-secure-transfer-api,master,no,SOC
202,core-secure-transfer-ui,https://github.com/octanner/core-secure-transfer-ui,main,no,SOC
203,core-sso,https://github.com/octanner/core-sso,main,no,SOC
204,core-system-user,https://github.com/octanner/core-system-user,main,no,SOC
205,core-template-mapping,https://github.com/octanner/core-template-mapping,master,no,SOC
206,core-user-segments,https://github.com/octanner/core-user-segments,master,yes,SOC
207,core-vibes-graphql,https://github.com/octanner/core-vibes-graphql,main,yes,SOC
208,core-vicmigrationui,https://github.com/octanner/core-vicmigrationui,master,no,SOC
209,core-wellness,https://github.com/octanner/core-wellness,develop,no,SOC
210,corp-oauth,https://github.com/octanner/corp-oauth,master,no,SOC
211,costcode-management-service,https://github.com/octanner/costcode-management-service,master,no,SOC
212,country-list,https://github.com/octanner/country-list,master,no,SOC
213,cpq-poc,https://github.com/octanner/cpq-poc,main,no,SOC
214,cpq-research,https://github.com/octanner/cpq-research,main,no,SOC
215,cpq-service-graphql,https://github.com/octanner/cpq-service-graphql,master,no,SOC
216,cpq-service-poc,https://github.com/octanner/cpq-service-poc,main,no,SOC
217,cpq-webui-poc,https://github.com/octanner/cpq-webui-poc,main,no,SOC
218,create-customer-clj,https://github.com/octanner/create-customer-clj,master,no,SOC
219,CSS-Theme-Variables,https://github.com/octanner/CSS-Theme-Variables,master,no,SOC
220,culture-cloud-android,https://github.com/octanner/culture-cloud-android,master,no,SOC
221,culture-cloud-demo,https://github.com/octanner/culture-cloud-demo,master,no,SOC
222,culture-cloud-ios,https://github.com/octanner/culture-cloud-ios,master,yes,SOC
223,culturecloud-android-automation,https://github.com/octanner/culturecloud-android-automation,master,yes,SOC
224,culturecloud-cdn,https://github.com/octanner/culturecloud-cdn,main,no,SOC
225,cylancescript,https://github.com/octanner/cylancescript,master,no,SOC
226,data-export-request-service,https://github.com/octanner/data-export-request-service,master,no,SOC
227,databus-producer,https://github.com/octanner/databus-producer,master,no,SOC
228,dba_maintenance,https://github.com/octanner/dba_maintenance,main,no,SOC
229,dctm-api,https://github.com/octanner/dctm-api,master,no,SOC
230,dctm-views,https://github.com/octanner/dctm-views,master,no,SOC
231,derek-bot,https://github.com/octanner/derek-bot,master,no,SOC
232,desc_identity_metrics,https://github.com/octanner/desc_identity_metrics,master,no,SOC
233,designau-common,https://github.com/octanner/designau-common,main,no,SOC
234,digicert-alerts,https://github.com/octanner/digicert-alerts,main,no,SOC
235,digital-yearbook-ui,https://github.com/octanner/digital-yearbook-ui,main,no,SOC
236,dimensions-api,https://github.com/octanner/dimensions-api,develop,no,SOC
237,dockerfile-wizard,https://github.com/octanner/dockerfile-wizard,master,no,SOC
238,docs,https://github.com/octanner/docs,master,no,SOC
239,doctumutils,https://github.com/octanner/doctumutils,master,no,SOC
240,documentum-rest-client-java,https://github.com/octanner/documentum-rest-client-java,master,no,SOC
241,documentum-service,https://github.com/octanner/documentum-service,master,no,SOC
242,documentum_services,https://github.com/octanner/documentum_services,master,no,SOC
243,drawing-demo-ios,https://github.com/octanner/drawing-demo-ios,master,no,SOC
244,ecard-admin,https://github.com/octanner/ecard-admin,master,no,SOC
245,ecard-api,https://github.com/octanner/ecard-api,master,no,SOC
246,ecertificates,https://github.com/octanner/ecertificates,master,yes,SOC
247,echo,https://github.com/octanner/echo,master,no,SOC
248,echo-db,https://github.com/octanner/echo-db,master,no,SOC
249,echo-db-api,https://github.com/octanner/echo-db-api,master,no,SOC
250,edb-p42,https://github.com/octanner/edb-p42,master,no,SOC
251,edb-p42-testdb,https://github.com/octanner/edb-p42-testdb,master,no,SOC
252,edb-scala-it-demo,https://github.com/octanner/edb-scala-it-demo,master,no,SOC
253,EDW,https://github.com/octanner/EDW,develop,no,SOC
254,ehokelytics_culture_cloud,https://github.com/octanner/ehokelytics_culture_cloud,master,no,SOC
255,ehokelytics_give,https://github.com/octanner/ehokelytics_give,master,no,SOC
256,email-process-worker,https://github.com/octanner/email-process-worker,master,no,SOC
257,email-templates,https://github.com/octanner/email-templates,master,no,SOC
