S no.,name,repo url,default branch,codacy integration,custom properties
145,cns-orchestration-service,https://github.com/octanner/cns-orchestration-service,main,no,SOC
146,color-generator,https://github.com/octanner/color-generator,master,no,SOC
147,commhubws,https://github.com/octanner/commhubws,master,no,SOC
148,common-auth.ruby,https://github.com/octanner/common-auth.ruby,master,no,SOC
149,common-avro-schemas,https://github.com/octanner/common-avro-schemas,nonprod-avro-schemas,no,SOC
150,common-ui-jacket,https://github.com/octanner/common-ui-jacket,master,no,SOC
151,comms-telecom,https://github.com/octanner/comms-telecom,main,yes,SOC
152,communication-hub,https://github.com/octanner/communication-hub,master,no,SOC
153,communication_services_client,https://github.com/octanner/communication_services_client,master,no,SOC
154,concert-postman-env,https://github.com/octanner/concert-postman-env,master,no,SOC
155,config-wizard-ui,https://github.com/octanner/config-wizard-ui,master,no,SOC
156,configr8,https://github.com/octanner/configr8,master,no,SOC
157,configurable-queries,https://github.com/octanner/configurable-queries,master,yes,SOC
158,consul-oc_tanner-lock-client,https://github.com/octanner/consul-oc_tanner-lock-client,master,yes,SOC
159,coralogix-poc-infra,https://github.com/octanner/coralogix-poc-infra,main,no,SOC
160,core-admin-ui,https://github.com/octanner/core-admin-ui,master,no,SOC
161,core-alamo-scripts,https://github.com/octanner/core-alamo-scripts,master,no,SOC
162,core-auth-osb-broker,https://github.com/octanner/core-auth-osb-broker,master,no,SOC
163,core-budget-svc,https://github.com/octanner/core-budget-svc,main,yes,SOC
164,core-chronicle-svc,https://github.com/octanner/core-chronicle-svc,main,yes,SOC
165,core-commerce-config,https://github.com/octanner/core-commerce-config,master,no,SOC
166,core-consent-api,https://github.com/octanner/core-consent-api,main,no,SOC
167,core-customer-config,https://github.com/octanner/core-customer-config,master,yes,SOC
168,core-data-ui,https://github.com/octanner/core-data-ui,main,no,SOC
169,core-dynamodb-poc,https://github.com/octanner/core-dynamodb-poc,main,no,SOC
170,core-eligibility,https://github.com/octanner/core-eligibility,master,no,SOC
171,core-eligibility-service,https://github.com/octanner/core-eligibility-service,master,no,SOC
172,core-financial-svc,https://github.com/octanner/core-financial-svc,main,yes,SOC
173,core-financial-ui,https://github.com/octanner/core-financial-ui,main,yes,SOC
174,core-graphql,https://github.com/octanner/core-graphql,master,yes,SOC
175,core-hierarchy-service,https://github.com/octanner/core-hierarchy-service,master,yes,SOC
176,core-hierarchy-store,https://github.com/octanner/core-hierarchy-store,master,no,SOC
177,core-identity2,https://github.com/octanner/core-identity2,master,yes,SOC
178,core-identity2-hierarchy-search-test,https://github.com/octanner/core-identity2-hierarchy-search-test,main,no,SOC
179,core-idp,https://github.com/octanner/core-idp,master,no,SOC
180,core-import-api,https://github.com/octanner/core-import-api,master,no,SOC
181,core-import-java-api,https://github.com/octanner/core-import-java-api,master,yes,SOC
182,core-legacy-privacy-api,https://github.com/octanner/core-legacy-privacy-api,main,yes,SOC
183,core-location,https://github.com/octanner/core-location,main,yes,SOC
184,core-masterdata,https://github.com/octanner/core-masterdata,master,yes,SOC
185,core-migrationvalidator,https://github.com/octanner/core-migrationvalidator,master,yes,SOC
186,core-order-svc,https://github.com/octanner/core-order-svc,main,yes,SOC
187,core-orgstpmon,https://github.com/octanner/core-orgstpmon,main,no,SOC
188,core-privacy-policy,https://github.com/octanner/core-privacy-policy,main,no,SOC
189,core-pt-mgmt-svc,https://github.com/octanner/core-pt-mgmt-svc,master,yes,SOC
190,Core-Python-Tools,https://github.com/octanner/Core-Python-Tools,main,no,SOC
191,core-role-delegator,https://github.com/octanner/core-role-delegator,master,yes,SOC
192,core-role-delegator2,https://github.com/octanner/core-role-delegator2,main,no,SOC
193,core-secure-transfer-api,https://github.com/octanner/core-secure-transfer-api,master,no,SOC
194,core-secure-transfer-ui,https://github.com/octanner/core-secure-transfer-ui,main,no,SOC
195,core-sso,https://github.com/octanner/core-sso,main,no,SOC
196,core-sso-scheduler-ui,https://github.com/octanner/core-sso-scheduler-ui,main,no,SOC
197,core-swa-order-filter-svc,https://github.com/octanner/core-swa-order-filter-svc,main,no,SOC
198,core-swa-order-kinesis-svc,https://github.com/octanner/core-swa-order-kinesis-svc,kinesis-setup,no,SOC
199,core-system-user,https://github.com/octanner/core-system-user,main,no,SOC
200,core-template-mapping,https://github.com/octanner/core-template-mapping,master,no,SOC
201,core-user-upload,https://github.com/octanner/core-user-upload,main,no,SOC
202,core-vibes-graphql,https://github.com/octanner/core-vibes-graphql,main,yes,SOC
203,core-wellness,https://github.com/octanner/core-wellness,develop,no,SOC
204,corp-oauth,https://github.com/octanner/corp-oauth,master,no,SOC
205,costcode-management-service,https://github.com/octanner/costcode-management-service,master,no,SOC
206,country-list,https://github.com/octanner/country-list,master,no,SOC
207,CPQ,https://github.com/octanner/CPQ,main,no,SOC
208,cpq-poc,https://github.com/octanner/cpq-poc,main,no,SOC
209,cpq-research,https://github.com/octanner/cpq-research,main,no,SOC
210,cpq-service-graphql,https://github.com/octanner/cpq-service-graphql,master,no,SOC
211,cpq-service-poc,https://github.com/octanner/cpq-service-poc,main,no,SOC
212,cpq-webui-poc,https://github.com/octanner/cpq-webui-poc,main,no,SOC
213,create-customer-clj,https://github.com/octanner/create-customer-clj,master,no,SOC
214,CSS-Theme-Variables,https://github.com/octanner/CSS-Theme-Variables,master,no,SOC
215,culture-cloud-android,https://github.com/octanner/culture-cloud-android,master,no,SOC
216,culture-cloud-ios,https://github.com/octanner/culture-cloud-ios,master,yes,SOC
217,culturecloud-android-automation,https://github.com/octanner/culturecloud-android-automation,master,yes,SOC
218,culturecloud-cdn,https://github.com/octanner/culturecloud-cdn,main,no,SOC
219,cylancescript,https://github.com/octanner/cylancescript,master,no,SOC
220,daedalus,https://github.com/octanner/daedalus,main,yes,SOC
221,data-export-request-service,https://github.com/octanner/data-export-request-service,master,no,SOC
222,data_science,https://github.com/octanner/data_science,main,no,SOC
223,databus-producer,https://github.com/octanner/databus-producer,master,no,SOC
224,dataExport,https://github.com/octanner/dataExport,main,no,SOC
225,dba_maintenance,https://github.com/octanner/dba_maintenance,main,no,SOC
226,dctm-views,https://github.com/octanner/dctm-views,master,no,SOC
227,derek-bot,https://github.com/octanner/derek-bot,master,no,SOC
228,desc_identity_metrics,https://github.com/octanner/desc_identity_metrics,master,no,SOC
229,design-manager-ui,https://github.com/octanner/design-manager-ui,main,no,SOC
230,designau-common,https://github.com/octanner/designau-common,main,no,SOC
231,determinate-demo,https://github.com/octanner/determinate-demo,main,no,SOC
232,digicert-alerts,https://github.com/octanner/digicert-alerts,main,no,SOC
233,digital-yearbook-ui,https://github.com/octanner/digital-yearbook-ui,main,no,SOC
234,dimensions-api,https://github.com/octanner/dimensions-api,develop,no,SOC
235,dockerfile-wizard,https://github.com/octanner/dockerfile-wizard,master,no,SOC
236,docs,https://github.com/octanner/docs,master,no,SOC
237,documentum-rest-client-java,https://github.com/octanner/documentum-rest-client-java,master,no,SOC
238,documentum-service,https://github.com/octanner/documentum-service,master,no,SOC
239,documentum_services,https://github.com/octanner/documentum_services,master,no,SOC
240,drawing-demo-ios,https://github.com/octanner/drawing-demo-ios,master,no,SOC
241,ecard-api,https://github.com/octanner/ecard-api,master,no,SOC
242,ecertificates,https://github.com/octanner/ecertificates,master,yes,SOC
243,echo,https://github.com/octanner/echo,master,no,SOC
244,echo-db-api,https://github.com/octanner/echo-db-api,master,no,SOC
245,edb-scala-it-demo,https://github.com/octanner/edb-scala-it-demo,master,no,SOC
246,EDW,https://github.com/octanner/EDW,develop,no,SOC
247,edw-coalesce,https://github.com/octanner/edw-coalesce,main,no,SOC
248,ehokelytics_culture_cloud,https://github.com/octanner/ehokelytics_culture_cloud,master,no,SOC
249,ehokelytics_give,https://github.com/octanner/ehokelytics_give,master,no,SOC
250,email-process-worker,https://github.com/octanner/email-process-worker,master,no,SOC
251,email-templates,https://github.com/octanner/email-templates,master,no,SOC
252,employee-uploader,https://github.com/octanner/employee-uploader,main,no,SOC
253,engineering,https://github.com/octanner/engineering,main,no,SOC
254,epilog,https://github.com/octanner/epilog,master,no,SOC
255,eSmarts,https://github.com/octanner/eSmarts,master,no,SOC
256,eSmartsUI,https://github.com/octanner/eSmartsUI,master_dev,no,SOC
257,events-data-replicator,https://github.com/octanner/events-data-replicator,dev,no,SOC
258,events-wiki,https://github.com/octanner/events-wiki,master,no,SOC
259,eventsgo,https://github.com/octanner/eventsgo,master,no,SOC
260,eventsgocass,https://github.com/octanner/eventsgocass,master,no,SOC
261,example-graphql-generate,https://github.com/octanner/example-graphql-generate,main,no,SOC
262,example-graphql-namespace,https://github.com/octanner/example-graphql-namespace,master,no,SOC
263,ext-recog-approvals-ui,https://github.com/octanner/ext-recog-approvals-ui,main,yes,SOC
264,external-recognition-svc,https://github.com/octanner/external-recognition-svc,main,yes,SOC
265,external-recognition-ui,https://github.com/octanner/external-recognition-ui,master,yes,SOC
266,external-yearbook-service,https://github.com/octanner/external-yearbook-service,main,no,SOC
267,extrahop,https://github.com/octanner/extrahop,main,no,SOC
268,flashback,https://github.com/octanner/flashback,master,no,SOC
269,fleet-infra,https://github.com/octanner/fleet-infra,main,no,SOC
270,frontend-image,https://github.com/octanner/frontend-image,main,no,SOC
271,frontend-interview,https://github.com/octanner/frontend-interview,main,no,SOC
272,frontend-template,https://github.com/octanner/frontend-template,main,no,SOC
273,gaas,https://github.com/octanner/gaas,main,no,SOC
274,geofeed,https://github.com/octanner/geofeed,main,no,SOC
275,github-policy-compliance,https://github.com/octanner/github-policy-compliance,main,yes,SOC
276,github-projects-archiver,https://github.com/octanner/github-projects-archiver,master,no,SOC
277,give-widget,https://github.com/octanner/give-widget,master,no,SOC
278,globalship,https://github.com/octanner/globalship,master,no,SOC
279,Gmail-addin,https://github.com/octanner/Gmail-addin,master,no,SOC
280,google-doc-addin,https://github.com/octanner/google-doc-addin,master,no,SOC
281,GoogleAuth,https://github.com/octanner/GoogleAuth,master,no,SOC
282,graphql-gateway,https://github.com/octanner/graphql-gateway,master,no,SOC
283,graphql-identity,https://github.com/octanner/graphql-identity,master,no,SOC
284,greatwork-ios,https://github.com/octanner/greatwork-ios,master,no,SOC
285,gzip_file_upload,https://github.com/octanner/gzip_file_upload,master,no,SOC
286,heartbeater,https://github.com/octanner/heartbeater,master,no,SOC
287,hero-configurator,https://github.com/octanner/hero-configurator,main,no,SOC
288,hrisIntegration,https://github.com/octanner/hrisIntegration,master,no,SOC
289,http4s-common-lib,https://github.com/octanner/http4s-common-lib,master,no,SOC
290,hybris,https://github.com/octanner/hybris,develop-ccv2,yes,SOC
291,hybris-appreciatekit,https://github.com/octanner/hybris-appreciatekit,master,no,SOC
292,hybris-team,https://github.com/octanner/hybris-team,master,no,SOC
293,hyper-serializer,https://github.com/octanner/hyper-serializer,master,no,SOC
294,identity-to-marketing-cloud,https://github.com/octanner/identity-to-marketing-cloud,master,no,SOC
295,ifs-3d-sensor,https://github.com/octanner/ifs-3d-sensor,master,no,SOC
296,ignition,https://github.com/octanner/ignition,main,no,SOC
297,image-hash,https://github.com/octanner/image-hash,main,no,SOC
298,image-migrate,https://github.com/octanner/image-migrate,main,no,SOC
299,images,https://github.com/octanner/images,master,yes,SOC
300,import-map-deployer,https://github.com/octanner/import-map-deployer,main,no,SOC
301,individual-events,https://github.com/octanner/individual-events,master,no,SOC
302,influx-api,https://github.com/octanner/influx-api,master,no,SOC
303,informd,https://github.com/octanner/informd,master,no,SOC
304,initiatives-api,https://github.com/octanner/initiatives-api,master,yes,SOC
305,initiatives-ui,https://github.com/octanner/initiatives-ui,master,yes,SOC
306,InnovationAR,https://github.com/octanner/InnovationAR,master,no,SOC
307,insight,https://github.com/octanner/insight,master,no,SOC
308,insight-handler,https://github.com/octanner/insight-handler,master,no,SOC
309,insights-notebooks,https://github.com/octanner/insights-notebooks,main,no,SOC
310,insights_redemption,https://github.com/octanner/insights_redemption,main,no,SOC
311,integ-chrome-addin,https://github.com/octanner/integ-chrome-addin,master,yes,SOC
312,integ-edge-addin,https://github.com/octanner/integ-edge-addin,master,yes,SOC
313,integ-embed-addin,https://github.com/octanner/integ-embed-addin,master,no,SOC
314,integ-firefox-addin,https://github.com/octanner/integ-firefox-addin,master,yes,SOC
315,integ-jira-addin,https://github.com/octanner/integ-jira-addin,master,no,SOC
316,integ-microsoft-viva-addin,https://github.com/octanner/integ-microsoft-viva-addin,main,no,SOC
317,integ-sapsuccess-api,https://github.com/octanner/integ-sapsuccess-api,master,no,SOC
318,integ-sharepoint,https://github.com/octanner/integ-sharepoint,main,yes,SOC
319,integ-slack-app,https://github.com/octanner/integ-slack-app,master,yes,SOC
320,integ-webex-addin,https://github.com/octanner/integ-webex-addin,master,no,SOC
321,integ-zoom-app,https://github.com/octanner/integ-zoom-app,master,no,SOC
322,integration-api,https://github.com/octanner/integration-api,master,no,SOC
323,integration_framework,https://github.com/octanner/integration_framework,master,no,SOC
324,integrations-api,https://github.com/octanner/integrations-api,master,no,SOC
325,integrations-communication-svc,https://github.com/octanner/integrations-communication-svc,master,yes,SOC
326,integrations-docs-ui,https://github.com/octanner/integrations-docs-ui,master,no,SOC
327,integrations-safari-extension,https://github.com/octanner/integrations-safari-extension,master,yes,SOC
328,integrations-teams-bot,https://github.com/octanner/integrations-teams-bot,master,yes,SOC
329,integrationsmonitoring,https://github.com/octanner/integrationsmonitoring,master,no,SOC
330,Intern_Maintenance-weekend-Testing,https://github.com/octanner/Intern_Maintenance-weekend-Testing,main,no,SOC
331,ios-animation-example,https://github.com/octanner/ios-animation-example,master,no,SOC
332,iOS-ARKit-ImageRecognition,https://github.com/octanner/iOS-ARKit-ImageRecognition,master,no,SOC
333,iOS-ARKit-QuickLook,https://github.com/octanner/iOS-ARKit-QuickLook,master,no,SOC
334,ios-array-editor,https://github.com/octanner/ios-array-editor,master,no,SOC
335,ios-design-system,https://github.com/octanner/ios-design-system,master,no,SOC
336,ios-environment-switcher,https://github.com/octanner/ios-environment-switcher,master,no,SOC
337,ios-network-stack,https://github.com/octanner/ios-network-stack,master,no,SOC
338,ios-team,https://github.com/octanner/ios-team,master,no,SOC
339,ITDS-DigitalPlumbers,https://github.com/octanner/ITDS-DigitalPlumbers,main,no,SOC
340,jarvis,https://github.com/octanner/jarvis,main,no,SOC
341,Jenkins-Compliance-Search,https://github.com/octanner/Jenkins-Compliance-Search,master,no,SOC
342,Jenkins-Get-SOC2-ACL,https://github.com/octanner/Jenkins-Get-SOC2-ACL,master,no,SOC
343,Jenkins-GPO-Report-for-SOC,https://github.com/octanner/Jenkins-GPO-Report-for-SOC,master,no,SOC
344,Jenkins-RDS-Logoff,https://github.com/octanner/Jenkins-RDS-Logoff,master,no,SOC
345,Jenkins-Test-Repo,https://github.com/octanner/Jenkins-Test-Repo,main,no,SOC
346,jira-ws,https://github.com/octanner/jira-ws,master,no,SOC
347,js-dependency-checker1,https://github.com/octanner/js-dependency-checker1,main,no,SOC
348,kafka-connect-jdbc,https://github.com/octanner/kafka-connect-jdbc,master,no,SOC
349,kafkajs-avro,https://github.com/octanner/kafkajs-avro,main,no,SOC
350,kapacitor-alerts-api,https://github.com/octanner/kapacitor-alerts-api,master,no,SOC
351,kill-oracle,https://github.com/octanner/kill-oracle,master,no,SOC
352,kit-routing,https://github.com/octanner/kit-routing,master,no,SOC
353,kue-example,https://github.com/octanner/kue-example,master,no,SOC
354,landing-zone-manifests,https://github.com/octanner/landing-zone-manifests,main,no,SOC
355,landoop-connect-ui,https://github.com/octanner/landoop-connect-ui,master,no,SOC
356,langs,https://github.com/octanner/langs,master,no,SOC
357,language-service,https://github.com/octanner/language-service,master,yes,SOC
358,Language_Service,https://github.com/octanner/Language_Service,main,no,SOC
359,legacy-email-adapter,https://github.com/octanner/legacy-email-adapter,main,yes,SOC
360,lfg-appreciatekit,https://github.com/octanner/lfg-appreciatekit,master,no,SOC
361,LibLaserCut,https://github.com/octanner/LibLaserCut,develop,no,SOC
362,logging.java,https://github.com/octanner/logging.java,master,no,SOC
363,logging.scala,https://github.com/octanner/logging.scala,master,no,SOC
